Temperature,Revenue
24.56688442,534.7990284
26.00519115,625.1901215
27.79055388,660.6322888
20.59533505,487.7069603
11.50349764,316.2401944
14.35251388,367.9407438
13.70777988,308.8945179
30.83398474,696.7166402
0.976869989,55.39033824
31.66946458,737.8008241
11.45525338,325.9684084
3.664669577,71.16015301
18.81182403,467.4467066
13.62450892,289.5409341
39.53990899,905.4776043
18.48314099,469.9090332
25.93537514,648.2099977
42.51528041,921.508275
29.58948056,649.5611747
21.77594799,534.6228653
25.45783637,612.1539491
15.21456942,353.3256334
22.61931574,524.2361154
16.25872074,374.231135
23.88172478,523.1245467
18.97830025,473.6043349
15.6614643,402.4553204
29.18504465,679.3177906
19.02461092,517.5340283
35.12015142,809.6720534
24.18393726,528.3804165
15.23119012,356.0980075

