Degree,Worth
21.68442569,478.5985086
26.19166817,563.3816326
21.6018917,545.9039291
18.88371892,444.8268017
0.267027698,32.54661902
19.61787546,506.2223794
20.10390047,491.4304998
23.98464085,559.1358692
29.25112258,697.1474728
34.86070051,798.0597179
11.17715183,278.7319615
26.12624136,594.8724701
39.8593964,875.0193476
20.41103121,513.8043817
17.87119907,440.6778286
18.34681936,410.860905
9.900293264,256.772593
25.05628082,583.8552306
12.08460133,278.4182651
36.99708394,851.3430963
14.73182422,322.9839774
7.107491008,221.400252
38.09660871,819.1175879
26.9236056,644.4886327
12.43313955,283.6796571
10.11973687,276.3733742
17.57423462,402.7931738
12.06247527,300.9322734
30.40761507,690.7892959
7.335445007,192.3419961
22.63297707,546.6938576
28.04640445,665.6726764
33.51453981,750.4447328
24.24037247,569.6187562
38.62886243,916.648613



